"Wetland","Date","GPP.2.5","GPP.50","GPP.97.5","ER.2.5","ER.50","ER.97.5","NEPcalc","Kcor","k600.mh","meanTemp","minTemp","maxTemp","sdTemp","zmix","bp","sig.50","rundtime","accept","nbatch","ncut","ntot","scale"
"TO","2024-07-29 08:16:00","0.215137614483966","0.246415927453977","0.275590537977322","-1.68677786410455","-1.6630676279584","-1.6386430603354","-1.41665170050442","0.00791069723095473","0.01","27.1134305555556","26.701","27.481","0.233461775753871","0.267","760.96040086","-2.23206634923589","2025-06-22 18:42:52.870219","0.0364464285714286","56000","1000","55000","0.05"
"TO","2024-07-30 08:16:00","0.244074427680028","0.296317181192413","0.350542464764348","-1.62537459716445","-1.58161793707746","-1.53825612133257","-1.28530075588504","0.00795009745481433","0.01","26.9237222222222","26.253","27.575","0.446594345813412","0.267","760.96040086","-1.62242158076375","2025-06-22 18:43:32.7715","0.0902142857142857","56000","1000","55000","0.05"
"TO","2024-07-31 08:16:00","0.212040203195462","0.261005929258211","0.304773212377771","-1.69322613868375","-1.65642074424073","-1.61690848319403","-1.39541481498252","0.00792794686727829","0.01","27.0297291666667","26.498","27.745","0.397410714232409","0.267","760.96040086","-1.76979756384306","2025-06-22 18:44:51.132194","0.0739285714285714","56000","1000","55000","0.05"
"TO","2024-08-01 08:16:00","0.00960020606049664","0.148338857194462","0.280907791101081","-1.35287272776704","-1.24571693345262","-1.13282531421689","-1.09737807625815","0.0079648075350201","0.01","26.8548333333333","26.321","27.49","0.343092211707386","0.267","760.96040086","-0.708299716742931","2025-06-22 18:46:14.45526","0.259125","56000","1000","55000","0.05"
"TO","2024-08-02 08:16:00","0.175372948519885","0.300995395306375","0.434328823881554","-1.78538924212557","-1.6790260552447","-1.57771621263514","-1.37803065993833","0.00793767885801635","0.01","26.9822361111111","26.337","27.711","0.482630090236357","0.267","760.96040086","-0.790476158225924","2025-06-22 18:46:56.896011","0.236107142857143","56000","1000","55000","0.05"
"TO","2024-08-03 08:16:00","-0.00913396759529445","0.14475696414455","0.303709840523486","-1.5939841165042","-1.4659150658594","-1.33868609428977","-1.32115810171485","0.00789879130240337","0.01","27.1675555555556","26.507","27.822","0.42186992622636","0.267","760.96040086","-0.59265054806254","2025-06-22 18:48:20.464471","0.288892857142857","56000","1000","55000","0.05"
"TO","2024-08-04 08:16:00","-0.11936104689648","0.0701974316409625","0.251815231921367","-1.53162658284364","-1.381364687726","-1.22771270381741","-1.31116725608503","0.00788415121574247","0.01","27.2354097222222","26.498","27.941","0.495276350254684","0.267","760.96040086","-0.38663926156253","2025-06-22 18:49:37.956009","0.341267857142857","56000","1000","55000","0.05"
"TO","2024-08-05 08:16:00","-0.442713318863595","-0.172676502924347","0.0784929540412737","-1.28048346052167","-1.07855194463606","-0.85398391929158","-1.25122844756041","0.00776198963718906","0.01","27.8015277777778","27.006","28.709","0.598004630153093","0.267","760.96040086","-0.0861898198181985","2025-06-22 18:50:14.683118","0.421785714285714","56000","1000","55000","0.05"
"TO","2024-08-06 08:16:00","-0.275374208437989","-0.0684833808944092","0.12515009041067","-1.37536049362246","-1.21646886831241","-1.04768592707899","-1.28495224920682","0.00771138660981849","0.01","28.0361736111111","27.363","28.889","0.46742393764181","0.267","760.96040086","-0.31170543478725","2025-06-22 18:50:51.088126","0.361839285714286","56000","1000","55000","0.05"
"TO","2024-08-07 08:16:00","-0.251239570816984","-0.0889765857097163","0.0762850203604715","-1.42022292918328","-1.28653889666912","-1.15616236944133","-1.37551548237884","0.00780097769891995","0.01","27.6245833333333","26.871","28.47","0.474186760587096","0.267","760.96040086","-0.531993826437067","2025-06-22 18:51:27.207357","0.30325","56000","1000","55000","0.05"
"TO","2024-08-08 08:16:00","-0.350137593859885","-0.170824814392493","0.00968299365047456","-1.35568519213979","-1.20864818373619","-1.06093177518721","-1.37947299812868","0.00782139076340256","0.01","27.5272777777778","26.642","28.419","0.585653295422968","0.267","760.96040086","-0.427574452477817","2025-06-22 18:52:04.996775","0.333","56000","1000","55000","0.05"
"TO","2024-08-09 08:16:00","-0.334545251149196","-0.19422369443035","-0.0581743556486402","-1.19223796173775","-1.0796803474607","-0.965491900269471","-1.27390404189105","0.00777589504707486","0.01","27.7414444444444","27.065","28.521","0.431126703712766","0.267","760.96040086","-0.689144509528224","2025-06-22 18:52:50.845496","0.260410714285714","56000","1000","55000","0.05"
"TO","2024-08-10 08:16:00","0.0114295498954528","0.147717222800294","0.288559487996093","-1.76402321923417","-1.64882982349851","-1.53723304101423","-1.50111260069822","0.00779911763622621","0.01","27.6355069444444","27.159","28.291","0.342773529110884","0.267","760.96040086","-0.681991280265014","2025-06-22 18:54:14.776406","0.264071428571429","56000","1000","55000","0.05"
"TO","2024-08-11 08:16:00","-0.243957051257346","-0.139513709885177","-0.03398329795983","-1.38802274889073","-1.30292138299773","-1.21939581056223","-1.44243509288291","0.0078517431482527","0.01","27.3880555555556","26.65","28.171","0.470493072380169","0.267","760.96040086","-0.967266081706953","2025-06-22 18:55:40.084028","0.202303571428571","56000","1000","55000","0.05"
"TO","2024-08-12 08:16:00","-0.079667503335856","-0.0129763000485615","0.0531601894943894","-1.4555304683764","-1.40047228007753","-1.34651140115093","-1.41344858012609","0.0078272282557775","0.01","27.4995902777778","26.608","28.393","0.606122127752297","0.267","760.96040086","-1.38665388799345","2025-06-22 18:56:56.914976","0.121107142857143","56000","1000","55000","0.05"
"TO","2024-08-13 08:16:00","-0.0306408515026875","0.0537720213373392","0.133917692730036","-1.45206941977703","-1.3857767376748","-1.31628967745363","-1.33200471633746","0.00773867770561652","0.01","27.9143541666667","27.43","28.504","0.331402940019919","0.267","760.96040086","-1.20029390915349","2025-06-22 18:57:33.33291","0.154517857142857","56000","1000","55000","0.05"
"TO","2024-08-14 08:16:00","0.220250615963748","0.364262737685923","0.510876589232828","-1.53276474217921","-1.41164415773975","-1.29116861999703","-1.04738142005383","0.00800929562675404","0.01","26.6369861111111","25.898","27.822","0.643290350720594","0.267","760.96040086","-0.657802813563319","2025-06-22 18:58:10.583978","0.274339285714286","56000","1000","55000","0.05"
"TO","2024-08-15 08:16:00","0.162274399689613","0.234642932765829","0.307832950246361","-1.8627681051667","-1.80284630148913","-1.74269866320454","-1.5682033687233","0.00805263671019138","0.01","26.4283819444444","25.671","27.371","0.662446039459964","0.267","760.96040086","-1.27844970690907","2025-06-22 18:58:49.196131","0.141035714285714","56000","1000","55000","0.05"
"TO","2024-08-16 08:16:00","2.33707930584934","2.80683165048736","3.25722734295729","-2.23257899978387","-1.85955398901865","-1.47276690135555","0.947277661468707","0.00759443044859165","0.01","28.3889027777778","26.152","32.626","2.3306894244577","0.267","760.96040086","0.542955476541095","2025-06-22 18:59:26.789146","0.571553571428571","56000","1000","55000","0.05"
"TO","2024-08-17 08:16:00","-0.312364661118216","-0.250731099172342","-0.190212278242142","0.0782509958694797","0.126795336889468","0.174930532110776","-0.123935762282873","0.00727936461807236","0.01","29.7107083333333","26.27","33.552","2.1812222623319","0.267","760.96040086","-1.55815131193453","2025-06-22 19:00:04.307762","0.0966964285714286","56000","1000","55000","0.05"
"TO","2024-08-18 08:16:00","0.0751530364964148","0.119093899823142","0.162500437178609","-0.0814196468725384","-0.0455570436942688","-0.0102697516376855","0.073536856128873","0.00789700701580361","0.01","27.1279722222222","22.944","29.929","1.80885532302685","0.267","760.96040086","-1.79339926199177","2025-06-22 19:00:42.277334","0.0712678571428571","56000","1000","55000","0.05"
"TO","2024-08-19 08:16:00","-0.304866204311699","-0.274106120872459","-0.243116495582765","0.135194447249998","0.163566102584382","0.19179437177281","-0.110540018288077","0.00865955951962527","0.01","23.4622222222222","21.99","26.202","1.28645591482512","0.267","760.96040086","-2.39151840455923","2025-06-22 19:00:59.259637","0.0944107142857143","56000","1000","55000","0.05"
