No. ,Hole  Pos.,Name  ,Method  ,Coefficients  ,NPOC vol. [ml],TIC vol. [ml],TC vol. [ml],TIC  Area,TC  Area,NPOC  Area,TNb  Area,TIC [mg/l],TC [mg/l],TOC (Diff.) [mg/l],NPOC [mg/l],TNb [mg/l],Dilut.  Factor,TC  Blank,TIC  Blank,NPOC  Blank,TNb  Blank,Memo  ,Info  ,Date,Time
95,25,Tortuguero 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,29476,15617,,,,30.939,1.571,1,,,0,0,,,3/1/2024,2:39:36
96,25,Tortuguero 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,30048,16069,,,,31.575,1.616,1,,,0,0,,,3/1/2024,2:43:25
97,25,Tortuguero 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,30073,16209,,,,31.603,1.63,1,,,0,0,,,3/1/2024,2:47:50
116,25,Tortuguero 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,12829,6305,,,,32.635,1.595,1,,,0,0,,,3/1/2024,9:51:29
117,25,Tortuguero 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,12733,6240,,,,32.386,1.579,1,,,0,0,,,3/1/2024,9:55:29
118,25,Tortuguero 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,12840,6305,,,,32.662,1.595,1,,,0,0,,,3/1/2024,10:00:14
8,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,105,236,,,,0.111,0.023,1,,,0,0,,,2/29/2024,14:32:51
9,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,138,238,,,,0.145,0.023,1,,,0,0,,,2/29/2024,14:35:37
10,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,175,258,,,,0.185,0.025,1,,,0,0,,,2/29/2024,14:39:02
74,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,151,3687,,,,0.159,0.372,1,,,0,0,,,2/29/2024,23:37:34
75,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,254,4873,,,,0.268,0.493,1,,,0,0,,,2/29/2024,23:40:27
76,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,206,5137,,,,0.218,0.52,1,,,0,0,,,2/29/2024,23:43:51
104,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,4679,2406,,,,4.723,0.241,1,,,0,0,,,3/1/2024,4:01:15
105,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,5916,3112,,,,5.969,0.313,1,,,0,0,,,3/1/2024,4:05:01
106,3,Water Blank,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,6426,3323,,,,6.485,0.335,1,,,0,0,,,3/1/2024,4:09:28
