site,treatment,sample_name,timepoint,rep,vial_name,CH4_ppm,CO2_ppm,CH4_ppm_corrected,CO2_ppm_corrected,Temp_C,AFDM_g,CH4_avg,CO2_avg,AFDM_avg,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production
TO,T2,TO-T2,1,a,TO-T2-1a,121.4632,4379.9478,118.1029,3726.6803,,,97.2785,3366.4829,#DIV/0!,-0.9135,33.175,#DIV/0!,#DIV/0!
TO,T2,TO-T2,1,b,TO-T2-1b,99.0931,3670.8476,95.7327,3017.5801,,,,,,-1.8456,3.6292,#DIV/0!,#DIV/0!
TO,T2,TO-T2,1,c,TO-T2-1c,81.3603,4008.4557,78,3355.1882,,,,,,-2.5845,17.6962,#DIV/0!,#DIV/0!
TO,T2,TO-T2,1,d,TO-T2-1d,,,,,,,,,,,,,
TO,T3,TO-T3,1,a,TO-T3-1a,1006.1674,5595.1096,1002.807,4941.8421,,,947.2102,5700.4369,#DIV/0!,-32.0417,-21.4766,#DIV/0!,#DIV/0!
TO,T3,TO-T3,1,b,TO-T3-1b,1063.1535,6029.3576,1059.7932,5376.0901,,,,,,-29.6673,-3.3829,#DIV/0!,#DIV/0!
TO,T3,TO-T3,1,c,TO-T3-1c,974.6913,6818.0076,971.331,6164.7401,,,,,,-33.3532,29.4775,#DIV/0!,#DIV/0!
TO,T3,TO-T3,1,d,TO-T3-1d,758.2698,6972.3428,754.9095,6319.0753,,,,,,,,,
TO,T1,TO-T1,3,a,TO-T1-3a,20.7851,3930.8251,17.4247,3277.5576,,,11.3627,2780.5974,#DIV/0!,-0.1815,2.864,#DIV/0!,#DIV/0!
TO,T1,TO-T1,3,b,TO-T1-3b,,,,,,,,,,-0.4235,-42.6576,#DIV/0!,#DIV/0!
TO,T1,TO-T1,3,c,TO-T1-3c,8.661,2936.9046,5.3007,2283.6371,,,,,,-0.3499,-10.9404,#DIV/0!,#DIV/0!
TO,T1,TO-T1,3,d,TO-T1-3d,,,,,,,,,,,,,
TO,T2,TO-T2,3,a,TO-T2-3a,70.7713,3905.6876,67.4109,3252.4201,,,58.932,3084.606,#DIV/0!,-1.0086,4.4714,#DIV/0!,#DIV/0!
TO,T2,TO-T2,3,b,TO-T2-3b,60.0215,3319.5054,56.6611,2666.2379,,,,,,-1.1579,-3.67,#DIV/0!,#DIV/0!
TO,T2,TO-T2,3,c,TO-T2-3c,62.6505,3134.4552,59.2902,2481.1877,,,,,,-1.1214,-6.2402,#DIV/0!,#DIV/0!
TO,T2,TO-T2,3,d,TO-T2-3d,55.7262,4591.846,52.3659,3938.5785,,,,,,,,,
TO,T3,TO-T3,3,a,TO-T3-3a,1291.7727,6820.0176,1288.4123,6166.7501,,,742.5367,7082.6584,#DIV/0!,-6.7138,9.8538,#DIV/0!,#DIV/0!
TO,T3,TO-T3,3,b,TO-T3-3b,795.2666,7598.8046,791.9063,6945.5371,,,,,,-13.6098,20.6702,#DIV/0!,#DIV/0!
TO,T3,TO-T3,3,c,TO-T3-3c,158.4187,9896.0708,155.0584,9242.8033,,,,,,-22.4549,52.5767,#DIV/0!,#DIV/0!
TO,T3,TO-T3,3,d,TO-T3-3d,738.13,6628.8106,734.7697,5975.5431,,,,,,,,,
TO,T1,TO-T1,7,a,TO-T1-7a,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!
TO,T1,TO-T1,7,b,TO-T1-7b,,,,,,,,,,,,#DIV/0!,#DIV/0!
TO,T1,TO-T1,7,c,TO-T1-7c,,,,,,,,,,,,#DIV/0!,#DIV/0!
TO,T1,TO-T1,7,d,TO-T1-7d,,,,,,,,,,,,,
TO,T2,TO-T2,7,a,TO-T2-7a,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!
TO,T2,TO-T2,7,b,TO-T2-7b,,,,,,,,,,,,#DIV/0!,#DIV/0!
TO,T2,TO-T2,7,c,TO-T2-7c,,,,,,,,,,,,#DIV/0!,#DIV/0!
TO,T2,TO-T2,7,d,TO-T2-7d,,,,,,,,,,,,,
TO,T3,TO-T3,7,a,TO-T3-7a,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!
TO,T3,TO-T3,7,b,TO-T3-7b,,,,,,,,,,,,#DIV/0!,#DIV/0!
TO,T3,TO-T3,7,c,TO-T3-7c,,,,,,,,,,,,#DIV/0!,#DIV/0!
TO,T3,TO-T3,7,d,TO-T3-7d,,,,,,,,,,,,,
