Time_sec,DateTime,Batt_V,Temp_C,DO_mgL,Q
1623527460,6/11/1951 19:51,3.54,26.667,0.067,0.959
1623528060,6/11/1951 20:01,3.54,26.659,0.057,0.958
1623528660,6/11/1951 20:11,3.54,26.633,0.055,0.958
1623529260,6/11/1951 20:21,3.54,26.608,0.052,0.958
1623529860,6/11/1951 20:31,3.54,26.591,0.052,0.958
1623530460,6/11/1951 20:41,3.54,26.566,0.052,0.958
1623531060,6/11/1951 20:51,3.54,26.532,0.051,0.958
1623531660,6/11/1951 21:01,3.54,26.507,0.052,0.958
1623532260,6/11/1951 21:11,3.53,26.473,0.051,0.958
1623532860,6/11/1951 21:21,3.53,26.456,0.051,0.958
1623533460,6/11/1951 21:31,3.53,26.422,0.051,0.958
1623534060,6/11/1951 21:41,3.53,26.38,0.051,0.958
1623534660,6/11/1951 21:51,3.53,26.371,0.051,0.958
1623535260,6/11/1951 22:01,3.53,26.312,0.051,0.958
1623535860,6/11/1951 22:11,3.53,26.304,0.051,0.958
1623536460,6/11/1951 22:21,3.53,26.27,0.051,0.958
1623537060,6/11/1951 22:31,3.53,26.261,0.051,0.958
1623537660,6/11/1951 22:41,3.53,26.228,0.051,0.958
1623538260,6/11/1951 22:51,3.53,26.202,0.051,0.958
1623538860,6/11/1951 23:01,3.53,26.185,0.051,0.958
1623539460,6/11/1951 23:11,3.53,26.143,0.051,0.959
1623540060,6/11/1951 23:21,3.53,26.118,0.051,0.958
1623540660,6/11/1951 23:31,3.54,26.076,0.063,0.959
1623541260,6/11/1951 23:41,3.54,26.05,0.091,0.96
1623541860,6/11/1951 23:51,3.54,26.033,0.205,0.964
1623542460,6/12/1951 0:01,3.54,26.025,0.281,0.966
1623543060,6/12/1951 0:11,3.54,26,0.284,0.966
1623543660,6/12/1951 0:21,3.54,25.983,0.273,0.966
1623544260,6/12/1951 0:31,3.54,25.983,0.11,0.961
1623544860,6/12/1951 0:41,3.54,25.966,0.052,0.958
1623545460,6/12/1951 0:51,3.54,25.958,0.062,0.959
1623546060,6/12/1951 1:01,3.54,25.924,0.113,0.961
1623546660,6/12/1951 1:11,3.54,25.915,0.119,0.961
